"Mean","SD","Naive SE","Time-series SE","Agency"
0.811339120362518,0.490791801904657,0.00109744383185842,0.0016643346094471,"ACER"
-1.25504069920544,0.532670652991125,0.00119108778970736,0.00185667799873971,"BBI JU"
0.6007112609191,0.452386823952873,0.00101156769048385,0.00144784594688537,"BEREC OFFICE"
-0.606015373219826,0.463772853233817,0.00103702762594985,0.00172585857195576,"CdT"
0.474245849822136,0.452234237571033,0.00101122649696162,0.00131698265243926,"CEDEFOP"
-0.0486352533790705,0.411132710205891,0.000919320687794094,0.00124500196597115,"CEPOL"
-1.25276584079436,0.531200890405756,0.00118780130065569,0.00190075305755964,"CLEAN SKY JU"
-0.574006242562872,0.466220780757722,0.00104250135829729,0.00153984007573082,"CPVO"
0.923890078702606,0.496407150352061,0.00111000013270417,0.0015412306937214,"EASA"
0.916936735744016,0.50139784589639,0.00112115966719629,0.00154698666814737,"EASO"
1.85975939120419,0.634396063090355,0.00141855272172828,0.00211497427348632,"EBA"
0.087411684318118,0.428786617803513,0.000958796025250876,0.00123582198806678,"ECDC"
0.940709006698695,0.500381515768267,0.00111888708394223,0.00151919030735959,"ECHA"
-1.25467253057708,0.532744109223016,0.00119125204283524,0.00189591436343985,"ECSEL JU"
-1.39234115774722,0.544220976565501,0.00121691509838178,0.00167741980932459,"EDA"
-0.771253947236606,0.472437631814601,0.00105640265986647,0.00178880007494388,"EEA"
0.395961352360143,0.451661121441756,0.00100994497033755,0.00136147201028034,"EFCA"
0.46387145628464,0.471496285045826,0.00105429774450109,0.00161050574422371,"EFSA"
0.281468275704543,0.444260441851475,0.000993396547693991,0.00135188611329815,"EIGE"
1.86075176231741,0.632892685819614,0.00141519106795507,0.00212535804944872,"EIOPA"
0.435997758376181,0.417205931681997,0.000932900823857079,0.00140075273965512,"EIT"
0.572124029932588,0.463322089131218,0.00103601968677462,0.00139782138792534,"EMA"
-0.69023027480324,0.451126419567562,0.00100874934059916,0.00163488366793281,"EMCDDA"
0.181512751523959,0.447942472038843,0.00100162981748815,0.00144914455945662,"EMSA"
0.439294099796114,0.448115527632603,0.00100201678155969,0.00130038335362561,"ENISA"
0.61011456596825,0.464930882914879,0.00103961705903666,0.0014302166041521,"ERA"
1.86226954983345,0.633213136209254,0.00141590761680973,0.00211022441508865,"ESMA"
0.477798606563838,0.425598192552411,0.000951666489648236,0.00120110497519551,"ETF"
0.238741933238344,0.446651246533324,0.000998742549483529,0.00142682560007091,"EU-LISA"
0.474510180822591,0.453439550467951,0.00101392165853329,0.00133156656507386,"EU-OSHA"
-0.047455306093241,0.437086441454116,0.000977354995134885,0.00142720193830753,"EUIPO"
-0.968010609558039,0.476040649694855,0.00106445925277086,0.00141900615394083,"EUISS"
0.475067114444977,0.448364066032805,0.00100257253031756,0.0013000649483229,"EUROFOUND"
-0.470813086451414,0.426940408497783,0.000954667775742572,0.00131094626861398,"EUROJUST"
-0.168161352900521,0.411055776864784,0.000919148659613642,0.00125434947142256,"EUROPOL"
-0.690848613254203,0.451550511693692,0.00100969763942191,0.00159151958727993,"F4E JU"
-1.25665703848269,0.532135246096251,0.0011898905834948,0.00188406200866854,"FCH JU.2"
1.06974953675144,0.516357111976387,0.00115460960304467,0.00151503965291479,"FRA"
0.684029252999588,0.472321563354643,0.00105614312289996,0.00140693989337438,"Frontex"
0.384465016095043,0.449061290267785,0.00100413157110253,0.00132153725112161,"GSA"
-1.25587129565711,0.53337340333946,0.00119265918725745,0.00187669423735583,"IMI JU"
-0.253395418739699,0.430883067181117,0.000963483828570585,0.0013263359696954,"R JU.2"
-1.12005006177353,0.496666430728406,0.00111057990125091,0.00152667887147202,"SatCen"
-0.058269912990303,0.434580822345551,0.000971752260482412,0.00142390979307586,"SESAR JU"
0.3378129629251,0.439716121832543,0.000983235139220146,0.00154902891990011,"SRB"
